Sequence Feature > Primary DBID	Sequence Feature > Secondary Identifier	Sequence Feature > Standard Name	Sequence Feature > Sgd Alias	Sequence Feature > Description	Sequence Feature > Feature Type
S000003328	YGR096W	TPC1	thiamine transporter TPC1	Mitochondrial membrane transporter; mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria; expression appears to be regulated by carbon source; member of the mitochondrial carrier family	ORF
S000007325	tM(CAU)Q1	""	""	Mitochondrial methionine tRNA (tRNA-Met); predicted by tRNAscan-SE analysis	tRNA_gene
S000003403	YGR171C	MSM1	methionine--tRNA ligase MSM1	Mitochondrial methionyl-tRNA synthetase (MetRS); functions as a monomer in mitochondrial protein synthesis; functions similarly to cytoplasmic MetRS although the cytoplasmic form contains a zinc-binding domain not found in Msm1p	ORF
S000004348	YLR356W	ATG33	""	Mitochondrial mitophagy-specific protein; required primarily for mitophagy induced at post-log phase; not required for other types of selective autophagy or macroautophagy; conserved within fungi, but not in higher eukaryotes; ATG33 has a paralog, SCM4, that arose from the whole genome duplication	ORF
S000007272	Q0115	BI3	cytochrome b mRNA maturase bI3	Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA	ORF
S000007273	Q0120	BI4	intron-encoded RNA maturase bI4	Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA	ORF
S000007271	Q0110	BI2	cytochrome b mRNA maturase bI2	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA	ORF
S000001633	YKL150W	MCR1	cytochrome-b5 reductase	Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis	ORF
S000006109	YPL188W	POS5	NADH kinase	Mitochondrial NADH kinase; phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress	ORF
S000002224	YDL066W	IDP1	isocitrate dehydrogenase (NADP(+)) IDP1	Mitochondrial NADP-specific isocitrate dehydrogenase; catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes	ORF
S000001268	YIL006W	YIA6	NDT1 NAD+ transporter	Mitochondrial NAD+ transporter; involved in the transport of NAD+ into the mitochondria (see also YEA6); member of the mitochondrial carrier subfamily; disputed role as a pyruvate transporter; has putative mouse and human orthologs; YIA6 has a paralog, YEA6, that arose from the whole genome duplication	ORF
S000002671	YDR263C	DIN7	exodeoxyribonuclease DIN7 DIN3	Mitochondrial nuclease functioning in DNA repair and replication; modulates the stability of the mitochondrial genome, induced by exposure to mutagens, also induced during meiosis at a time nearly coincident with commitment to recombination; DIN7 has a paralog, EXO1, that arose from the whole genome duplication	ORF
S000029331	ORI8	ORI8	""	Mitochondrial origin of replication	origin_of_replication
S000029667	ORI1	ORI1	""	Mitochondrial origin of replication	origin_of_replication
S000029668	ORI2	ORI2	""	Mitochondrial origin of replication	origin_of_replication
S000029669	ORI3	ORI3	""	Mitochondrial origin of replication	origin_of_replication
S000029670	ORI4	ORI4	""	Mitochondrial origin of replication	origin_of_replication
S000029671	ORI5	ORI5	""	Mitochondrial origin of replication	origin_of_replication
S000029672	ORI6	ORI6	""	Mitochondrial origin of replication	origin_of_replication
S000029673	ORI7	ORI7	""	Mitochondrial origin of replication	origin_of_replication
S000004666	YMR062C	ARG7	ECM40 glutamate N-acetyltransferase	Mitochondrial ornithine acetyltransferase; catalyzes the fifth step in arginine biosynthesis; also possesses acetylglutamate synthase activity, regenerates acetylglutamate while forming ornithine	ORF
S000005369	YOL009C	MDM12	ERMES complex subunit MDM12	Mitochondrial outer membrane protein, ERMES complex subunit; required for transmission of mitochondria to daughter cells; required for mitophagy; may influence import and assembly of outer membrane beta-barrel proteins; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase	ORF
S000001398	YIL136W	OM45	""	Mitochondrial outer membrane protein of unknown function; major constituent of the outer membrane, extending into the intermembrane space; interacts with porin (Por1p) and with Om14p; imported via the presequence pathway involving the TOM and TIM23 complexes, then assembled in the outer membrane by Mim1p; protein abundance increases in response to DNA replication stress	ORF
S000003281	YGR049W	SCM4	""	Mitochondrial outer membrane protein of unknown function; predicted to have 4 transmembrane segments; import is mediated by Tom70p and Mim1p; interacts genetically with a cdc4 mutation; SCM4 has a paralog, ATG33, that arose from the whole genome duplication	ORF
S000001159	YHR117W	TOM71	TOM72 protein channel TOM71	Mitochondrial outer membrane protein; probable minor component of the TOM (translocase of outer membrane) complex responsible for recognition and import of mitochondrially directed proteins; TOM71 has a paralog, TOM70, that arose from the whole genome duplication	ORF
S000001408	YIL146C	ATG32	ECM37 mitophagy protein ATG32	Mitochondrial outer membrane protein required to initiate mitophagy; recruits the autophagy adaptor protein Atg11p and the ubiquitin-like protein Atg8p to the mitochondrial surface to initiate mitophagy, the selective vacuolar degradation of mitochondria in response to starvation; can promote pexophagy when placed ectopically in the peroxisomal membrane; regulates mitophagy and ethanol production during alcoholic fermentation	ORF
S000000434	YBR230C	OM14	""	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources	ORF
S000004543	YML078W	CPR3	CYP3 peptidylprolyl isomerase CPR3	Mitochondrial peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; involved in protein refolding after import into mitochondria	ORF
S000005563	YOR037W	CYC2	oxidoreductase	Mitochondrial peripheral inner membrane protein; contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)	ORF
S000000160	YBL064C	PRX1	thioredoxin peroxidase PRX1	Mitochondrial peroxiredoxin with thioredoxin peroxidase activity; has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated; protein abundance increases in response to DNA replication stress	ORF
S000007319	tF(GAA)Q	""	""	Mitochondrial phenylalanine tRNA (tRNA-Phe); predicted by tRNAscan-SE analysis	tRNA_gene
S000006251	YPR047W	MSF1	phenylalanine--tRNA ligase	Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase	ORF
S000003838	YJR077C	MIR1	PTP	Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated	ORF
S000003278	YGR046W	TAM41	MMP37 putative phosphatidate cytidylyltransferase	Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to altered membrane lipid composition	ORF
S000001142	YHR100C	GEP4	phosphatidylglycerophosphatase	Mitochondrial phosphatidylglycerophosphatase (PGP phosphatase); dephosphorylates phosphatidylglycerolphosphate to generate phosphatidylglycerol, an essential step during cardiolipin biosynthesis; null mutant is sensitive to tunicamycin, DTT	ORF
S000005000	YNL055C	POR1	VDAC porin POR1 OMP2 YVDAC1	Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress	ORF
S000007328	tP(UGG)Q	""	""	Mitochondrial proline tRNA (tRNA-Pro)	tRNA_gene
S000005387	YOL027C	MDM38	MKH1 ribosome-binding protein MDM38	Mitochondrial protein; forms a complex with Mba1p to facilitate recruitment of mRNA-specific translational activators to ribosomes; roles in protein export and K+/H+ exchange; human ortholog Letm1 implicated in Wolf-Hirschhorn syndrome	ORF
S000004625	YMR023C	MSS1	PET53	Mitochondrial protein; forms a heterodimer complex with Mto1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; similar to human GTPBP3	ORF
S000003205	YGL236C	MTO1	IPS1 tRNA modification protein MTO1	Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant	ORF
S000002919	YDR511W	SDH7	ACN9	Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family	ORF
S000007605	YDR379C-A	SDH6	""	Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; member of the LYR protein family; mutations in human ortholog SDHAF1 are associated with infantile leukoencephalopathy	ORF
S000001304	YIL042C	PKP1	protein kinase PKP1	Mitochondrial protein kinase; involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p	ORF
S000003027	YGL059W	PKP2	protein kinase PKP2	Mitochondrial protein kinase; negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p; relocalizes from mitochondrion to cytoplasm upon DNA replication stress	ORF
S000004895	YMR282C	AEP2	ATP13	Mitochondrial protein; likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader	ORF
S000005319	YNR036C	MRPS12	putative mitochondrial 37S ribosomal protein MRPS12	Mitochondrial protein; may interact with ribosomes based on co-purification experiments; similar to E. coli and human mitochondrial S12 ribosomal proteins	ORF
S000003072	YGL104C	VPS73	putative sugar transporter	Mitochondrial protein; mutation affects vacuolar protein sorting; putative transporter; member of the sugar porter family; VPS73 has a paralog, YBR241C, that arose from the whole genome duplication	ORF
S000003489	YGR257C	MTM1	""	Mitochondrial protein of the mitochondrial carrier family; high affinity pyridoxal 5'-phosphate (PLP) transporter, important for delivery of PLP cofactor to mitochondrial enzymes; involved in mitochondrial iron homeostasis and in activating mitochondrial Sod2p by facilitating insertion of an essential manganese cofactor	ORF
S000004670	YMR066W	SOV1	""	Mitochondrial protein of unknown function	ORF
S000028746	YER038W-A	FMP49	""	Mitochondrial protein of unknown function; almost completely overlaps ORF HVG1/YER039C	ORF
S000004243	YLR253W	MCP2	MRX13	Mitochondrial protein of unknown function involved in lipid homeostasis; associates with mitochondrial ribosome; integral membrane protein that localizes to the mitochondrial inner membrane; involved in mitochondrial morphology; non-essential gene which interacts genetically with MDM10, and other members of the ERMES complex; transcription is periodic during the metabolic cycle; homologous to human aarF domain containing kinase, ADCK1	ORF
S000005754	YOR228C	MCP1	""	Mitochondrial protein of unknown function involved in lipid homeostasis; integral membrane protein that localizes to the mitochondrial outer membrane; involved in mitochondrial morphology; interacts genetically with MDM10, and other members of the ERMES complex; contains five predicted transmembrane domains	ORF
S000001322	YIL060W	""	""	Mitochondrial protein of unknown function; required for respiratory growth; mutant accumulates less glycogen than does wild type; null mutation results in a decrease in plasma membrane electron transport; YIL060W is not an essential gene	ORF
S000002593	YDR185C	UPS3	GEP2	Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations; UPS3 has a paralog, UPS2, that arose from the whole genome duplication	ORF
S000003745	YJL209W	CBP1	""	Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress	ORF
